7.3470 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000275929CA230>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000275929CA290>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000275929CA590>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027593CA0880>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1536,  864]), stencilBits=8, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.3471 	EXP 	window1: mouseVisible = True
7.3471 	EXP 	window1: backgroundImage = None
7.3471 	EXP 	window1: backgroundFit = 'cover'
7.3472 	EXP 	window1: mouseVisible = False
7.3472 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.3472 	EXP 	window1: recordFrameIntervals = False
7.4151 	EXP 	window1: recordFrameIntervals = True
7.4917 	EXP 	Screen (0) actual frame rate measured at 143.77Hz
7.4917 	EXP 	window1: recordFrameIntervals = False
8.9578 	EXP 	Created GA = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='GA', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.8, 0.8]), size=array([32., 16.]), tex='sqr', texRes=512.0, units='deg', win=Window(...))
8.9606 	EXP 	Created aperture = Aperture(__class__=<class 'psychopy.visual.aperture.Aperture'>, anchor=('center', 'center'), autoLog=True, depth=0, inverted=False, nVert=UNKNOWN, name='aperture', ori=0.0, pos=array([0., 0.]), shape=UNKNOWN, size=array([8.]), units='deg', win=Window(...))
8.9946 	EXP 	Created placeholder = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='placeholder', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='initial contrast sensitivity \ntask', units='height', win=Window(...), wrapWidth=1)
8.9948 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
8.9949 	EXP 	New trial (rep=0, index=0): None
8.9954 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
8.9955 	EXP 	New trial (rep=0, index=0): None
11.9474 	EXP 	aperture: enabled = False
11.9474 	EXP 	aperture: enabled = True
11.9474 	EXP 	GA: autoDraw = True
11.9474 	EXP 	aperture: enabled = True
11.9474 	EXP 	GA: tex = 'sqr'
13.4257 	EXP 	GA: autoDraw = False
13.4257 	EXP 	aperture: enabled = False
13.4257 	EXP 	GA: autoDraw = False
13.4257 	EXP 	aperture: autoDraw = False
13.4257 	EXP 	aperture: enabled = False
13.4257 	EXP 	placeholder: autoDraw = True
14.4220 	EXP 	New trial (rep=1, index=0): None
16.7458 	EXP 	placeholder: autoDraw = False
16.7458 	EXP 	aperture: enabled = True
16.7458 	EXP 	GA: autoDraw = True
16.7458 	EXP 	aperture: enabled = True
16.7458 	EXP 	GA: tex = 'sqr'
18.2446 	EXP 	GA: autoDraw = False
18.2446 	EXP 	aperture: enabled = False
18.2446 	EXP 	GA: autoDraw = False
18.2446 	EXP 	aperture: autoDraw = False
18.2446 	EXP 	aperture: enabled = False
18.2446 	EXP 	placeholder: autoDraw = True
19.2413 	EXP 	New trial (rep=2, index=0): None
21.4871 	EXP 	placeholder: autoDraw = False
21.4871 	EXP 	aperture: enabled = True
21.4871 	EXP 	GA: autoDraw = True
21.4871 	EXP 	aperture: enabled = True
21.4871 	EXP 	GA: tex = 'sqr'
22.9735 	EXP 	GA: autoDraw = False
22.9735 	EXP 	aperture: enabled = False
22.9735 	EXP 	GA: autoDraw = False
22.9735 	EXP 	aperture: autoDraw = False
22.9735 	EXP 	aperture: enabled = False
22.9735 	EXP 	placeholder: autoDraw = True
23.9706 	EXP 	New trial (rep=3, index=0): None
26.2200 	EXP 	placeholder: autoDraw = False
26.2200 	EXP 	aperture: enabled = True
26.2200 	EXP 	GA: autoDraw = True
26.2200 	EXP 	aperture: enabled = True
26.2200 	EXP 	GA: tex = 'sqr'
27.6830 	EXP 	GA: autoDraw = False
27.6830 	EXP 	aperture: enabled = False
27.6830 	EXP 	GA: autoDraw = False
27.6830 	EXP 	aperture: autoDraw = False
27.6830 	EXP 	aperture: enabled = False
27.6830 	EXP 	placeholder: autoDraw = True
28.6789 	EXP 	New trial (rep=1, index=0): None
28.6793 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
28.6794 	EXP 	New trial (rep=0, index=0): None
30.8878 	EXP 	placeholder: autoDraw = False
30.8878 	EXP 	placeholder: autoDraw = False
30.8878 	EXP 	aperture: enabled = True
30.8878 	EXP 	GA: autoDraw = True
30.8878 	EXP 	aperture: enabled = True
30.8878 	EXP 	GA: tex = 'sqr'
32.3580 	EXP 	GA: autoDraw = False
32.3580 	EXP 	aperture: enabled = False
32.3580 	EXP 	GA: autoDraw = False
32.3580 	EXP 	aperture: autoDraw = False
32.3580 	EXP 	aperture: enabled = False
32.3580 	EXP 	placeholder: autoDraw = True
33.3524 	EXP 	New trial (rep=1, index=0): None
