7.9002 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000213C297A110>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000213C297A170>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000213C297A470>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000213C3C40790>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1536,  864]), stencilBits=8, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9002 	EXP 	window1: mouseVisible = True
7.9002 	EXP 	window1: backgroundImage = None
7.9002 	EXP 	window1: backgroundFit = 'cover'
7.9003 	EXP 	window1: mouseVisible = False
7.9003 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.9003 	EXP 	window1: recordFrameIntervals = False
7.9687 	EXP 	window1: recordFrameIntervals = True
8.0451 	EXP 	Screen (0) actual frame rate measured at 143.37Hz
8.0451 	EXP 	window1: recordFrameIntervals = False
9.5565 	EXP 	Created GA = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='GA', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.8, 0.8]), size=array([32., 16.]), tex='sqr', texRes=512.0, units='deg', win=Window(...))
9.5593 	EXP 	Created aperture = Aperture(__class__=<class 'psychopy.visual.aperture.Aperture'>, anchor=('center', 'center'), autoLog=True, depth=0, inverted=False, nVert=UNKNOWN, name='aperture', ori=0.0, pos=array([0., 0.]), shape=UNKNOWN, size=array([8.]), units='deg', win=Window(...))
9.5932 	EXP 	Created placeholder = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='placeholder', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='initial contrast sensitivity \ntask', units='height', win=Window(...), wrapWidth=1)
9.5934 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
9.5936 	EXP 	New trial (rep=0, index=0): None
9.5941 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
9.5941 	EXP 	New trial (rep=0, index=0): None
12.5529 	EXP 	aperture: enabled = False
12.5529 	EXP 	aperture: enabled = True
12.5529 	EXP 	GA: autoDraw = True
12.5529 	EXP 	aperture: enabled = True
12.5529 	EXP 	GA: tex = 'sqr'
14.0497 	EXP 	GA: autoDraw = False
14.0497 	EXP 	aperture: enabled = False
14.0497 	EXP 	GA: autoDraw = False
14.0497 	EXP 	aperture: autoDraw = False
14.0497 	EXP 	aperture: enabled = False
14.0497 	EXP 	placeholder: autoDraw = True
15.0449 	EXP 	New trial (rep=1, index=0): None
17.2726 	EXP 	placeholder: autoDraw = False
17.2726 	EXP 	placeholder: autoDraw = False
17.2726 	EXP 	aperture: enabled = True
17.2726 	EXP 	GA: autoDraw = True
17.2726 	EXP 	aperture: enabled = True
17.2726 	EXP 	GA: tex = 'sqr'
18.7494 	EXP 	GA: autoDraw = False
18.7494 	EXP 	aperture: enabled = False
18.7494 	EXP 	GA: autoDraw = False
18.7494 	EXP 	aperture: autoDraw = False
18.7494 	EXP 	aperture: enabled = False
