7.2742 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002D725B6A230>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002D725B6A290>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002D725B6A590>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002D726E44880>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1536,  864]), stencilBits=8, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.2742 	EXP 	window1: mouseVisible = True
7.2743 	EXP 	window1: backgroundImage = None
7.2743 	EXP 	window1: backgroundFit = 'cover'
7.2743 	EXP 	window1: mouseVisible = False
7.2744 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.2744 	EXP 	window1: recordFrameIntervals = False
7.3422 	EXP 	window1: recordFrameIntervals = True
7.4189 	EXP 	Screen (0) actual frame rate measured at 143.40Hz
7.4189 	EXP 	window1: recordFrameIntervals = False
8.9292 	EXP 	Created GA = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='GA', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.8, 0.8]), size=array([32., 16.]), tex='sqr', texRes=512.0, units='deg', win=Window(...))
8.9320 	EXP 	Created aperture = Aperture(__class__=<class 'psychopy.visual.aperture.Aperture'>, anchor=('center', 'center'), autoLog=True, depth=0, inverted=False, nVert=UNKNOWN, name='aperture', ori=0.0, pos=array([0., 0.]), shape=UNKNOWN, size=array([8.]), units='deg', win=Window(...))
8.9679 	EXP 	Created placeholder = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='placeholder', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='initial contrast sensitivity \ntask', units='height', win=Window(...), wrapWidth=1)
8.9681 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
8.9683 	EXP 	New trial (rep=0, index=0): None
8.9688 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
8.9689 	EXP 	New trial (rep=0, index=0): None
11.9068 	EXP 	aperture: enabled = False
11.9068 	EXP 	aperture: enabled = True
11.9068 	EXP 	GA: autoDraw = True
11.9068 	EXP 	aperture: enabled = True
11.9068 	EXP 	GA: tex = 'sqr'
13.4060 	EXP 	GA: autoDraw = False
13.4060 	EXP 	aperture: enabled = False
13.4060 	EXP 	GA: autoDraw = False
13.4060 	EXP 	aperture: autoDraw = False
13.4060 	EXP 	aperture: enabled = False
13.4060 	EXP 	placeholder: autoDraw = True
14.4048 	EXP 	New trial (rep=1, index=0): None
16.6637 	EXP 	placeholder: autoDraw = False
16.6637 	EXP 	aperture: enabled = True
16.6637 	EXP 	GA: autoDraw = True
16.6637 	EXP 	aperture: enabled = True
16.6637 	EXP 	GA: tex = 'sqr'
18.1722 	EXP 	GA: autoDraw = False
18.1722 	EXP 	aperture: enabled = False
18.1722 	EXP 	GA: autoDraw = False
18.1722 	EXP 	aperture: autoDraw = False
