GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,placeholder.stopped,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,1.0,26.74585509998724,28.214195300010033,"(-16, 0)",28.214195300010033,,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
0,0,0,0,1,0,1,0,,31.473620200005826,32.973306600004435,"(-16, 0)",32.973306600004435,36.224955199984834,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
0,0,0,0,2,0,2,0,,36.224955199984834,37.716054300020915,"(-16, 0)",37.716054300020915,40.972647799993865,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
0,0,0,0,3,0,3,0,,40.972647799993865,42.45153859996935,"(-16, 0)",42.45153859996935,45.73195859999396,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
1,0,1,0,0,0,0,0,0.8,45.73195859999396,47.20868679997511,"(-16, 0)",47.20868679997511,50.46424850000767,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
1,0,1,0,1,0,1,0,,50.46424850000767,51.944854000001214,"(16, 0)",51.944854000001214,55.20089019997977,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
1,0,1,0,2,0,2,0,,55.20089019997977,56.7149580999976,"(16, 0)",56.7149580999976,59.95451979996869,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
1,0,1,0,3,0,3,0,,59.95451979996869,61.445798699976876,"(16, 0)",61.445798699976876,64.70361219998449,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
2,0,2,0,0,0,0,0,0.6000000000000001,64.70361219998449,66.26828580000438,"(16, 0)",66.26828580000438,,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
2,0,2,0,1,0,1,0,,69.6849543999997,71.16160839999793,"(16, 0)",71.16160839999793,,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
2,0,2,0,2,0,2,0,,74.40384990000166,75.88121429999592,"(-16, 0)",75.88121429999592,79.11814320000121,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
2,0,2,0,3,0,3,0,,79.11814320000121,80.60579419997521,"(16, 0)",80.60579419997521,,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
3,0,3,0,0,0,0,0,0.4000000000000001,83.84732910001185,85.32992459996603,"(16, 0)",85.32992459996603,,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
3,0,3,0,1,0,1,0,,88.58363539999118,90.05922619998455,"(-16, 0)",90.05922619998455,,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
3,0,3,0,2,0,2,0,,93.2926010999945,94.7739278000081,"(16, 0)",94.7739278000081,,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
3,0,3,0,3,0,3,0,,98.03114540001843,99.51035019999836,"(-16, 0)",99.51035019999836,,469438,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_11h52.10.843,iva,2022.2.5,143.3609542177771,
