GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,7.976742000000058,7.976742000000058,space,1.756944299999759,,,,,,,,,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
0,0,0,0,0,0,0,0,,,,,1.0,9.78112340000007,10.779027000000042,"(16, 0)",10.779027000000042,10.779027000000042,right,0.384918899999775,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
0,0,0,0,1,0,1,0,,,,,,11.180923900000153,12.181366800000205,"(-16, 0)",12.181366800000205,12.181366800000205,left,0.3695060999998532,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
0,0,0,0,2,0,2,0,,,,,,12.569956600000069,13.570491500000117,"(16, 0)",13.570491500000117,13.570491500000117,right,0.24565659999984746,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
0,0,0,0,3,0,3,0,,,,,,13.833966200000077,14.834399400000166,"(16, 0)",14.834399400000166,14.834399400000166,right,0.2413315999997394,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
1,0,1,0,0,0,0,0,,,,,0.8,15.090975000000071,16.091193700000076,"(-16, 0)",16.091193700000076,16.091193700000076,left,0.3365915999997924,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
1,0,1,0,1,0,1,0,,,,,,16.446221800000103,17.445270100000016,"(-16, 0)",17.445270100000016,17.445270100000016,left,0.2896624999998494,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
1,0,1,0,2,0,2,0,,,,,,17.75013110000009,18.75088750000009,"(-16, 0)",18.75088750000009,18.75088750000009,left,0.2582257999997637,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
1,0,1,0,3,0,3,0,,,,,,19.027806200000214,20.028640200000154,"(-16, 0)",20.028640200000154,20.028640200000154,left,0.38429219999966335,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
2,0,2,0,0,0,0,0,,,,,0.6000000000000001,20.433703900000182,21.431384300000218,"(16, 0)",21.431384300000218,21.431384300000218,right,0.2779022999995959,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
2,0,2,0,1,0,1,0,,,,,,21.72287490000008,22.72294550000015,"(16, 0)",22.72294550000015,22.72294550000015,right,0.23550699999987046,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
2,0,2,0,2,0,2,0,,,,,,22.97172280000018,23.97295790000021,"(-16, 0)",23.97295790000021,23.97295790000021,left,0.2623057999996945,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
2,0,2,0,3,0,3,0,,,,,,24.2501642000002,25.250737600000093,"(16, 0)",25.250737600000093,25.250737600000093,right,0.2632672999995975,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
3,0,3,0,0,0,0,0,,,,,0.4000000000000001,25.528566600000204,26.528469600000108,"(16, 0)",26.528469600000108,26.528469600000108,right,0.3679793999999674,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
3,0,3,0,1,0,1,0,,,,,,26.910079800000176,27.910328600000184,"(16, 0)",27.910328600000184,27.910328600000184,right,0.340178499999638,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
3,0,3,0,2,0,2,0,,,,,,28.26384700000017,29.264486900000065,"(-16, 0)",29.264486900000065,29.264486900000065,left,0.3259144999999535,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
3,0,3,0,3,0,3,0,,,,,,29.603673800000024,30.60476330000006,"(-16, 0)",30.60476330000006,30.60476330000006,left,0.3236381999997775,612801,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_06h45.47.953,iva,2022.2.5,143.64059972839172,
