ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.058684599993285,17.058684599993285,space,0.8235849000047892,,,,,,,,,,,,,,,,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
0,0,0,0,0,0,0,0,,,,,0.05318295896944989,0.5,17.971382399991853,17.971382399991853,18.078681199986022,18.078681199986022,"(16, 0)",18.078681199986022,18.078681199986022,18.078681199986022,k,1,1.138346299994737,19.229681700002402,,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
1,0,1,0,0,0,0,0,,,,,0.020000000000000004,0.5,19.752626600005897,19.752626600005897,19.85694019999937,19.85694019999937,"(-16, 0)",19.85694019999937,19.85694019999937,19.85694019999937,j,1,0.6066059999866411,20.473165600007633,20.983080200006953,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
2,0,2,0,0,0,0,0,,,,,0.020000000000000004,0.5,20.983080200006953,20.983080200006953,21.083303399995202,21.083303399995202,"(16, 0)",21.083303399995202,21.083303399995202,21.083303399995202,k,1,0.2423627999960445,21.33319790000678,21.84894970001187,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
3,0,3,0,0,0,0,0,,,,,0.05318295896944989,0.5,21.84894970001187,21.84894970001187,21.953913200006355,21.953913200006355,"(-16, 0)",21.953913200006355,21.953913200006355,21.953913200006355,j,1,0.22618379999767058,22.18740070000058,22.704429300007178,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
4,0,4,0,0,0,0,0,,,,,0.1414213562373095,0.5,22.704429300007178,22.704429300007178,22.80712169999606,22.80712169999606,"(-16, 0)",22.80712169999606,22.80712169999606,22.80712169999606,j,1,0.3145303000055719,23.132340699987253,23.650509600003716,738403,001,0.1,2023-08-13_01h44.33.281,stimuli3,2022.2.5,143.51361510876865,
